未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
  68  No seek No find                                180,517,509  約1億8051万P       咲希      レオニ       マラソン    
  69  想いをのせて！Dream Stage                             180,108,720  約1億8010万P       寧々      混合        マラソン    
  70  Never Give Up Cooking!                         180,000,525  約1億8000万P       冬弥      混合        チアフル    
  71  絶体絶命!?アイランドパニック!                               180,000,000  約1億8000万P       寧々      ワンダショ     マラソン    
  72  Rise as ONE！                                   178,601,112  約1億7860万P       彰人      混合        チアフル    
  73  この祭に 夕闇色も                                      178,354,127  約1億7835万P       まふゆ     混合        チアフル    
  74  あたたかな思い出を辿って                                   178,001,027  約1億7800万P       穂波      レオニ       マラソン    
  75  新春!獅子舞ロボのお正月ショー!                               177,777,517  約1億7777万P       司       混合        チアフル    
  76  Kick it up a notch                             173,726,302  約1億7372万P       こはね     ビビバス      マラソン    
  77  交わる色はあの日のままに                                   173,191,206  約1億7319万P       雫       モモジャン     マラソン    
  78  Walk on and on                                 173,141,112  約1億7314万P       冬弥      ビビバス      マラソン    
  79  ボクのあしあと キミのゆくさき                                172,600,827  約1億7260万P       瑞希      ニーゴ       チアフル    
  80  ハロー･グッド･デイ！                                    171,717,171  約1億7171万P       一歌      混合        チアフル    
  81  昔日のRead-aloud                                  171,151,027  約1億7115万P       穂波      混合        マラソン    
  82  Chase my IDEAL IDOL！                           171,000,319  約1億7100万P       愛莉      モモジャン     マラソン    
  83  Don't lose faith!                              170,594,108  約1億7059万P       志歩      レオニ       チアフル    
  84  Little Bravers!                                168,001,027  約1億6800万P       穂波      レオニ       マラソン    
  85  Competitive fire！                              167,260,726  約1億6726万P       杏       ビビバス      マラソン    
  86  Aim higher and higher！                         166,000,302  約1億6600万P       こはね     ビビバス      マラソン    
  87  Choices for the future                         165,217,909  約1億6521万P       えむ      ワンダショ     マラソン    
  88  絶叫!?オオカミの森へようこそ!                               165,000,000  約1億6500万P       こはね     混合        チアフル    
  89  Light Up the Fire                              164,130,726  約1億6413万P       杏       ビビバス      マラソン    
  90  まばゆい光のステージで                                    164,088,517  約1億6408万P       司       ワンダショ     マラソン    
  91  Echo my melody                                 161,811,210  約1億6181万P       一歌      レオニ       マラソン    
  92  Parallel Harmonious                            161,780,493  約1億6178万P       咲希      レオニ       マラソン    
  93  怪盗紳士のハラハラ!?ホワイトデー                              161,616,161  約1億6161万P       司       混合        チアフル    
  94  Take the Best Shot!                            161,054,302  約1億6105万P       こはね     混合        チアフル    
  95  ほどかれた糸のその先に                                    160,001,206  約1億6000万P       雫       モモジャン     マラソン    
  96  空白のキャンバスに描く私は                                  160,000,430  約1億6000万P       絵名      ニーゴ       マラソン    
  97  セカイの桜、つながる想い                                   159,669,939  約1億5966万P       ニーゴミク   混合        チアフル    
  98  刻まれた傷は、やがて                                     159,105,414  約1億5910万P       みのり     モモジャン     マラソン    
  99  青空の先、輝きを追いかけて                                  158,931,985  約1億5893万P       愛莉      モモジャン     マラソン    
 100  いつか、絶望の底から                                     157,771,003  約1億5777万P       奏       ニーゴ       マラソン    
 101  Unsteady,still steady step                     157,721,027  約1億5772万P       穂波      レオニ       マラソン    
 102  その手導くぬくもりは                                     156,501,501  約1億5650万P       雫       モモジャン     チアフル    
 103  Same Dreams,Same Colors                        155,251,008  約1億5525万P       冬弥      ビビバス      マラソン    
 104  白熱!神高応援団!                                      153,110,624  約1億5311万P       類       混合        マラソン    
 105  Show your shine                                151,940,210  約1億5194万P       奏       混合        マラソン    
 106  あたしたちのハッピーエンド                                  151,700,909  約1億5170万P       えむ      ワンダショ     マラソン    
 107  拝啓、あの頃のわたしへ                                    150,962,880  約1億5096万P       みのり     モモジャン     マラソン    
 108  迷い子の手を引く、そのさきは                                 150,012,027  約1億5001万P       まふゆ     ニーゴ       マラソン    
 109  つなぐPainful Hope                                150,010,050  約1億5001万P       遥       モモジャン     チアフル    
 110  わんだほら〜!?な肝だめし!                                 150,000,909  約1億5000万P       えむ      混合        マラソン    
 111  This moment with you！                          150,000,811  約1億5000万P       一歌      レオニ       マラソン    
 112  OVER RAD SQUAD!!                               150,000,000  約1億5000万P       こはね     ビビバス      マラソン    
 113  あの日の夢の、彼方向こうへ                                  148,191,005  約1億4819万P       遥       モモジャン     チアフル    
 114  Lead to shine more                             147,671,005  約1億4767万P       遥       モモジャン     マラソン    
 115  リラックスティータイム                                    147,154,210  約1億4715万P       奏       混合        チアフル    
 116  Re-tie Friendship                              147,000,319  約1億4700万P       愛莉      モモジャン     マラソン    
 117  Grow glorious glow                             145,902,386  約1億4590万P       雫       モモジャン     マラソン    
 118  鳴らせビューティフルサウンド！                                145,252,100  約1億4525万P       冬弥      混合        マラソン    
 119  Stick to your faith                            144,300,108  約1億4430万P       志歩      レオニ       マラソン    
 120  Revival my dream                               143,300,624  約1億4330万P       類       ワンダショ     マラソン    
 121  みんなでエンジョイ!スポジョイパーク                             143,000,210  約1億4300万P       奏       混合        チアフル    
